date_time	HORIZONTAL	VERTICAL	DECLINACION	INTENSIDAD_TOTAL
1975-01-31	29295.850806451614	19016.022849462366	-1.3604166667388942	34926.440719865575
1975-02-28	29280.806547619046	19013.06994047619	-1.3753472221636893	34912.21411683034
1975-03-31	29271.831989247312	19004.610215053763	-1.3973342294045574	34900.08098604838
1975-04-30	29262.790277777778	19000.995833333334	-1.4139351852138726	34890.529244305464
1975-05-31	29263.13440860215	18992.209677419356	-1.4216845878064412	34886.032170403174
1975-06-30	29264.227777777778	19012.729166666668	-1.4491435185333434	34898.12379606943
1975-07-31	29381.655913978495	19146.549731182797	-1.4755152329113008	35070.611521075305
1975-08-31	29248.433333333334	19004.852777777778	-1.4853718637580693	34882.24170322917
1975-09-30	29411.620289855073	19154.6375	-1.205629629619446	35105.58817607244
1975-10-31	29239.122311827956	18964.791666666668	-1.4804211468239357	34850.966663387095
1975-11-30	29521.219444444443	19261.65	-0.9407499999722259	35251.88607338887
1975-12-31	29516.50672043011	18945.670807453414	-1.505046296355552	34826.84703906836
1976-01-31	29220.25940860215	18968.18817204301	-1.543148148111106	34836.99313353496
1976-02-29	29212.16302765648	18981.69540229885	-1.5469588122916615	34837.43926989812
1976-03-31	29197.416326530612	18982.326612903227	-1.5659498208696276	34825.49725478907
1976-04-30	29187.607703281028	18960.68616262482	-1.5777936281069975	34805.52605031382
1976-05-31	29193.41935483871	18958.012096774193	-1.596348566323925	34808.938537674774
1976-06-30	29208.724137931036	18991.14798850575	-1.5876436781135117	34839.82536221269
1976-07-31	29198.637096774193	18993.609467455623	-1.6045922939690889	34833.381356642014
1976-08-31	29202.24722222222	18957.086330935253	-1.6250977516246357	34816.00642097844
1976-09-30	29179.843055555557	18960.820833333335	-1.6334953702583328	34799.083020083366
1976-10-31	29174.237903225807	18959.47177419355	-1.6349014335053853	34793.64785983872
1976-11-30	29178.320621468927	18949.78519593614	-1.6521596244788674	34791.45467202332
1976-12-31	29164.422043010753	18942.38306451613	-1.6675766283893607	34776.10661176074
1977-01-31	29167.077777777777	18953.598611111112	-1.514537036993057	34784.44501543056
1977-02-28	29159.915178571428	18977.254464285714	-1.6960813491741138	34791.33605828868
1977-03-31	29156.845430107525	18964.75	-1.7056675627513616	34781.943929543006
1977-04-30	29135.79861111111	18972.333333333332	-1.7348148147444513	34768.440296777786
1977-05-31	29144.489247311827	18966.697580645163	-1.743279569849465	34772.64873279573
1977-06-30	29147.133333333335	18966.08611111111	-1.7517824074916624	34774.53003448608
1977-07-31	29132.254032258064	18958.047043010753	-1.7678315412338592	34757.674883682754
1977-08-31	29128.809139784946	18954.19489247312	-1.7766898147166512	34752.68727248655
1977-09-30	29129.922222222223	18953.584722222222	-1.788703703651372	34753.29200399995
1977-10-31	29119.690860215054	18955.728494623654	-1.8226926523077898	34745.88712319892
1977-11-30	29124.829166666666	18957.295833333334	-1.8349999999055535	34751.046169444395
1977-12-31	29109.92876344086	18935.822916666668	-1.8534003832384989	34725.386824255926
1978-01-31	29096.34946236559	18961.754032258064	-1.8611574074861077	34729.61747923389
1978-02-28	29119.206790123455	18973.296474358973	-1.8791666666009639	34755.256403942316
1978-03-31	29108.982526881722	18948.13306451613	-1.896550925969449	34732.769304381785
1978-04-30	29104.7375	18940.814655172413	-1.9134259259972295	34725.46003939655
1978-05-31	29089.423387096773	18933.29435483871	-1.9287608596145491	34708.29003649199
1978-06-30	29095.469444444443	18943.243055555555	-1.9393981481083482	34718.773869708326
1978-07-31	29096.198924731183	18941.056944444445	-1.9458333333602345	34717.83597668047
1978-08-31	29089.627688172044	18928.298387096773	-1.9759180790183712	34705.729255080616
1978-09-30	29032.50972222222	18838.0125	-1.9685648148319574	34608.64202094444
1978-10-31	29031.424731182797	18824.315860215054	-1.967809139850819	34600.27539548391
1978-11-30	29018.794444444444	18825.304166666665	-1.9984722222416638	34590.215524805644
1978-12-31	29023.791666666668	18828.298387096773	-2.007303639896545	34596.035799892496
1979-01-31	29024.021505376346	18812.344086021505	-2.020324074069432	34587.54841720422
1979-02-28	29026.029761904763	18815.980654761905	-2.0326388888571225	34591.2132411905
1979-03-31	29011.767473118278	18822.34068627451	-2.048364695372307	34580.59395973041
1979-04-30	28992.42777777778	18811.041666666668	-2.070162037059709	34560.34122216668
1979-05-31	28999.772849462366	18788.12634408602	-2.0648297491115466	34554.02983604838
1979-06-30	29003.058333333334	18776.102777777778	-2.089722222219436	34550.250424194404
1979-07-31	28998.04435483871	18782.34677419355	-2.1008960573978377	34549.43574470434
1979-08-31	28986.548387096773	18809.595430107525	-2.1279861110527896	34554.61765944898
1979-09-30	28972.893055555556	18790.24722222222	-2.139699074054178	34532.6315117917
1979-10-31	28995.655913978495	18782.11388888889	-2.1636648746209812	34547.52801877777
1979-11-30	28971.7183908046	18806.030172413793	-2.147870370387513	34540.23495803164
1979-12-31	28977.610958904108	18817.59946236559	-2.1742576627471353	34551.38669043834
1980-01-31	28962.767473118278	18807.655913978495	-2.1931250000083518	34533.61432443545
1980-02-29	28963.14224137931	18816.07471264368	-2.192624521084789	34538.51417537359
1980-03-31	28973.49327956989	18800.59005376344	-2.217338709700287	34538.76353767475
1980-04-30	28960.55138888889	18781.718055555557	-2.2278472222083407	34517.634014125084
1980-05-31	28948.673387096773	18754.451612903227	-2.26066308245026	34492.83662057791
1980-06-30	28939.6	18755.215277777777	-2.2634953703541596	34485.633814472196
1980-07-31	28937.065860215054	18762.524193548386		34487.49092998653
1980-08-31	28942.57123655914	18762.611559139787		34492.151057849485
1980-09-30	28941.056944444445	18742.568055555555		34479.984249194466
1980-10-31	28925.592741935485	18742.692204301075		34467.07206232528
1980-11-30	28913.095833333333	18694.977777777778		34430.65248940282
1980-12-31	28907.86559139785	18714.745967741936		34437.00317827956
1981-01-31	28924.017473118278	18726.0564516129	-2.3584722222014096	34456.70372361556
1981-02-28	28904.910714285714	18713.790178571428	-2.3625248016056384	34434.00182659227
1981-03-31	28874.584677419356	18711.333333333332	-2.3796370967244687	34407.214598078
1981-04-30	28873.1375	18721.859722222223	-2.4216049382978566	34411.73754418058
1981-05-31	28881.004032258064	18719.322580645163	-2.4061155914328167	34416.95017830647
1981-06-30	28891.827777777777	18710.208333333332	-2.4121296296194608	34421.06944340276
1981-07-31	28871.197580645163	18729.077956989247	-2.432683691731195	34414.02485241933
1981-08-31	28866.201612903227	18727.163978494624	-2.4459051724468566	34408.79216723118
1981-09-30	28865.23611111111	18682.808333333334	-2.4589815124986005	34383.86372077781
1981-10-31	28762.952956989247	18686.233870967742	-2.46290511805555	34299.91152122311
1981-11-30	28844.594444444443	18659.87222222222	-2.489398111111113	34354.07034547221
1981-12-31	28865.147849462366	18676.88440860215	-2.5181273956063106	34380.56557822581
1982-01-31	28851.19489247312	18673.77688172043	-2.5136805310472363	34367.16429717738
1982-02-28	28839.293154761905	18664.678571428572	-2.5283977941488063	34352.23381583334
1982-03-31	28840.91129032258	18653.529569892475	-2.549462365591372	34347.53671137096
1982-04-30	28823.775	18647.85138888889	-2.568888920847221	34330.06336824999
1982-05-31	28840.412634408603	18639.67876344086	-2.5820340429811663	34339.59038767471
1982-06-30	28819.058333333334	18643.979166666668	-2.5923379648180327	34323.99318984724
1982-07-31	28796.165322580644	18656.427419354837	-2.606250040322583	34311.55276451615
1982-08-31	28800.69623655914	18638.017473118278	-2.615277798148615	34305.33983068545
1982-09-30	28780.1875	18621.169444444444	-2.619358614240169	34278.977652416754
1982-10-31	28796.869623655915	18603.36693548387	-2.645026881735237	34283.31625521501
1982-11-30	28791.44027777778	18627.87361111111	-2.6606610800908017	34292.06196855563
1982-12-31	28792.333333333332	18630.09139784946	-2.65407088127157	34294.01279940862
1983-01-31	28793.547043010753	18586.739247311827	-2.671851851829184	34271.50269833334
1983-02-28	28776.178571428572	18570.803571428572	-2.6908234126711523	34248.26983636901
1983-03-31	28771.204301075268	18579.462365591397	-2.725313620022866	34248.7863183199
1983-04-30	28775.534722222223	18570.556944444445	-2.7425694444180593	34247.590723430556
1983-05-31	28769.358870967742	18565.790322580644	-2.7498655914072576	34239.817100215085
1983-06-30	28779.275	18573.416666666668	-2.762546296315267	34252.28320438888
1983-07-31	28780.810483870966	18601.57123655914	-2.7695340501411154	34268.845983790336
1983-08-31	28770.094086021505	18579.72446236559	-2.7948611111360857	34247.99220737903
1983-09-30	28779.420833333334	18552.530555555557	-2.8149074074166394	34241.08517918056
1983-10-31	28771.361559139787	18539.994623655915	-2.8339381719798062	34227.518952110266
1983-11-30	28755.11527777778	18522.50138888889	-2.8453935185319184	34204.38571387496
1983-12-31	28757.165322580644	18518.282258064515	-2.8571599617384824	34203.82393219084
1984-01-31	28757.39800806455	18522.709677419356	-2.8687592592763944	34206.42414888442
1984-02-29	28746.41091954023	18510.06752873563	-2.8892746913472425	34190.33801846266
1984-03-31	28740.404663923182	18508.6814516129	-2.8942876343844337	34184.7009226612
1984-04-30	28727.50972222222	18500.755555555555	-2.913009259295855	34169.40843536111
