date_time	HORIZONTAL	VERTICAL	DECLINACION	INTENSIDAD_TOTAL
1955-12-31	30457.335629611975	20398.156294198987	1.161943750545503	36656.969759689935
1956-12-31	30389.222844945267	20345.309975930664	1.0413859012052296	36570.91075398951
1957-12-31	30346.78942077511	20284.47456739969	0.8979204984814446	36501.95623960437
1958-12-31	30301.360183356275	20242.346571392514	0.787010147644908	36440.735045956906
1959-12-31	30249.25697455879	20199.624301968866	0.6788319830241668	36373.6436438517
1960-12-31	30293.618721461185	20167.88376593807	0.5664545734916956	36392.92494519742
1961-12-31	30150.787983425413	20116.41059981685	0.4604202881906223	36246.262046985496
1962-12-31	30089.708447488585	20049.290610328637	0.3498711699211866	36155.96014152097
1963-12-31	30021.94593663912	19965.503787878788	0.20664035904214528	36054.67192193529
1964-12-31	29955.175342465755	19903.26809056956	0.06762982254663952	35964.46886960899
1965-12-31	29910.545443993036	19817.23105022831	-0.06943290242382273	35879.55859824033
1966-12-31	29844.71938305709	19709.3971533517	-0.19534285274136545	35765.506837848734
1967-12-31	29782.564576074332	19639.247825091574	-0.3245739962753074	35674.850921733894
1968-12-31	29730.04997723133	19555.23944694017	-0.4659587937273201	35585.006944308865
1969-12-31	29665.06785796895	19438.641567641684	-0.6036799784401722	35466.46429606739
1970-12-31	29596.494662534435	19338.519857667587	-0.7483575159518466	35354.372832399924
1971-12-31	29532.204908675798	19249.063820018364	-0.8888656762344758	35251.67195576313
1972-12-31	29468.116461748636	19181.796688132476	-1.0278238183345374	35161.44106686076
1973-12-31	29397.838242009133	19111.54384157509	-1.169363650377157	35064.01941591356
1974-12-31	29334.506524725275	19066.5	-1.3051919821407063	34986.512036678905
1975-12-31	29332.030120481926	19043.91975451598	-1.3769352616953532	34952.523506316196
1976-12-31	29192.992287325887	18966.893052484582	-1.6028634019439265	34813.4006016702
1977-12-31	29137.83791208791	18959.653970452448	-1.749330563230658	34763.315641297464
1978-12-31	29075.20238095238	18906.27354570637	-1.940723876256513	34681.421786140316
1979-12-31	28996.61316211878	18800.279847182424	-2.0984783779627643	34557.37673391051
1980-12-31	28942.893897996357	18761.213000910746	-2.226177869863202	34491.669210783184
1981-12-31	28868.437442922375	18705.443378995435	-2.4284047632153265	34398.85842178525
1982-12-31	28814.274315068495	18641.585616438355	-2.594781556912416	34318.68311409038
1983-12-31	28773.241552511416	18563.482648401827	-2.7717528470213177	34241.83233700556
1984-12-31	28729.908201210463	18495.958504331964	-2.9400702160492056	34168.8266666289
1985-12-31	28691.071302995642	18456.825713470746	-3.0804124145743437	34114.99303446377
1986-12-31	28640.51228192524	18359.59728561646	-3.26400792551727	34019.93828419792
1987-12-31	28605.098310470414	18284.065098997595	-3.422012157578027	33949.37959039825
1988-12-31	28551.13038281958	18208.432464463578	-3.58991511278605	33863.249884375015
1989-12-31	28496.783863409913	18138.380385419885	-3.760437962964261	33780.711301295654
1990-12-31	28457.74027307793	18057.61475330453	-3.897627594477473	33703.36346203173
1991-12-31	28409.64584817368	17974.10680900879	-4.062565421648097	33619.069670533514
1992-12-31	28384.74570293749	17887.31295620438	-4.271161563844386	33546.707780404184
1993-12-31	28347.187998048772	17787.284872944125	-4.463221334026759	33465.633113967
1994-12-31	28294.701913241635	17690.65811383092	-4.614658179012695	33369.89715331957
1995-12-31	28251.73214486025	17602.108040809602	-4.769184265647669	33286.484268930995
1996-12-31	26124.14801167129	17511.84615101334	-4.921359309596297	32035.46930780056
1997-12-31	28177.665759550066	17454.816068139964	-5.057902657004673	33146.12011597543
1998-12-31	28083.614416685665	17347.746299691735	-5.207880127165296	33009.70063574125
1999-12-31	28038.12168502991	17297.23954455881	-5.32512595357285	32962.7928755188
2000-12-31	27968.476904910654	17209.544635233462	-5.455331368698831	32839.07650759718
2001-12-31	27917.3870691005	17124.409274646103	-5.577087834716355	32750.980091034286
2002-12-31	27865.81965921566	17035.048543844205	-5.697363131804989	32660.270922838186
2003-12-31	27802.64711266233	16948.142546081915	-5.812104513563755	32561.132701386123
2004-12-31	27760.022227555724	16852.730211414095	-5.925409778582219	32475.522824074178
2005-12-31	26900.82066182375	16276.831134995791	-5.484373206124354	31438.14460090705
2006-12-31	26895.391413136935	16184.642963423275	-5.606232830528329	31378.691305024688
2007-12-31	26804.603302187505	16064.892033814374	-5.709953364608951	31241.148313079888
2008-12-31	27576.649604569542	16416.24105829421	-6.424104804682386	32093.115384554614
2009-12-31	26744.57687921223	15814.947876083846	-5.961479657227606	31063.73177454864
2010-12-31	26718.5013023182	15702.45645184586	-6.104001599013501	30980.24530327183
2011-12-31	26678.921648682583	15578.43366524865	-6.2286296165063355	30884.23906701311
2012-12-31	27406.38288015113	15904.479059653875	-6.9566666666703005	31686.889031873776
2013-12-31	26617.63561662222	15319.935281405169	-6.493737878433198	30708.32608158636
2014-12-31	26604.302781387698	15181.039450869992	-6.644861091801589	30630.183790578943
