date_time	HORIZONTAL	VERTICAL	DECLINACION	INTENSIDAD_TOTAL
1955-01-01	30443.264208333334	20405.989749999997	1.225139583375	36649.65357333334
1955-01-02	30451.96383333334	20404.955375	1.2225444445	36656.30846458334
1955-01-03	30456.76304166666	20409.02391666667	1.2207909722500003	36662.55535250001
1955-01-04	30448.080375	20405.203625000002	1.2212819443749996	36653.215579583324
1955-01-05	30466.073166666672	20403.39691666667	1.2175645833333333	36667.161085
1955-01-06	30469.408083333332	20405.82116666667	1.2387291666249998	36671.27853916668
1955-01-07	30463.308958333335	20403.89341666667	1.2160916665833332	36665.13729499999
1955-01-08	30465.649208333332	20412.954541666666	1.2284361110416666	36672.12405124999
1955-01-09	30462.69845833333	20410.60995833333	1.2217027777916665	36668.36697708332
1955-01-10	30477.75745833333	20413.892375	1.2322937500416666	36682.70626416666
1955-01-11	30481.233916666668	20418.029875000004	1.2114624999999999	36687.89861
1955-01-12	30487.203250000006	20418.305708333333	1.2252798611666667	36693.01271375
1955-01-13	30492.91820833333	20416.26454166667	1.2087270833333335	36696.623010416675
1955-01-14	30499.88808333334	20411.423666666673	1.2212819444166667	36699.722618750005
1955-01-15	30497.41216666666	20415.561166666666	1.2162319444166665	36699.96598916666
1955-01-16	30514.200916666665	20415.49220833333	1.2144083332916666	36713.88084208334
1955-01-17	30506.50183333333	20419.836583333334	1.2202298611666664	36709.896510833336
1955-01-18	30450.301916666667	20424.222333333335	1.226121527875	36665.65183791666
1955-01-19	30455.406375000006	20425.242916666666	1.2072541666666667	36670.45694583332
1955-01-20	30478.62233333333	20419.133208333333		36686.34344583333
1955-01-21	30496.038541666665	20422.84316666667	1.219458333333333	36702.87395458333
1955-01-22	30507.366708333328	20414.885375	1.2181958332916667	36707.86366249999
1955-01-23	30515.55758333333	20421.436416666664	1.2208611111250003	36718.312221666674
1955-01-24	30522.239166666666	20414.113041666667	1.2088673611666665	36719.795272916665
1955-01-25	30532.125874999998	20418.029875	1.2192479166666665	36730.188754166666
1955-01-26	30538.468291666668	20414.968125000003	1.2120937500416666	36733.760684583336
1955-01-27	30548.524583333332	20416.292125000007	1.220229861125	36742.85981
1955-01-28	30494.01170833333	20413.76825	1.215039583375	36696.146907916656
1955-01-29	30433.91075	20415.712875000005	1.2116027777083334	36647.298197083335
1955-01-30	30438.235125000007	20414.292333333335	1.2146888890416665	36650.09959208333
1955-01-31	30441.406333333332	20416.567958333333	1.226893055625	36654.00011833334
1955-02-01	30446.499250000004	20411.163166666665	1.2050138890416668	36655.219608750005
1955-02-02	30443.365	20420.362083333333	1.2089027777083332	36657.737539166665
1955-02-03	30441.822749999996	20417.216916666668	1.2079305556666666	36654.705379583334
1955-02-04	30438.688500000007	20417.008166666667	1.2157777778333336	36651.986551250004
1955-02-05	30431.060166666666	20420.640416666665	1.208	36647.675607916666
1955-02-06	30438.53925	20418.051916666667	1.2094583334166666	36652.44356958333
1955-02-07	30444.028333333335	20420.250749999996	1.2085555555833334	36658.227211666665
1955-02-08	30450.54558333334	20414.892833333335	1.207444444375	36660.65705624999
1955-02-09	30456.89733333333	20419.719833333336	1.2111944444166667	36668.620046250006
1955-02-10	30461.905166666667	20417.620499999994	1.2058472222083332	36671.611925
1955-02-11	30458.20708333333	20415.129416666667	1.2020277777916664	36667.15336333333
1955-02-12	30457.891999999996	20417.69008333334	1.214944416666667	36668.31689583333
1955-02-13	30467.344499999996	20416.743749999998	1.2073751250000002	36675.64172458335
1955-02-14	30472.402416666664	20417.022083333333	1.2016110416666668	36679.99752041667
1955-02-15	30471.705916666662	20417.857083333332	1.208763791666667	36679.88662333335
1955-02-16	30484.79016666667	20417.328250000002	1.1987639166666666	36690.45988458333
1955-02-17	30485.552999999996	20419.7915	1.2017499166666665	36692.46547125001
1955-02-18	30481.722249999995	20420.16725	1.2040416249999997	36689.49082916666
1955-02-19	30494.45825	20416.00616666667	1.2018194999999998	36697.759017916665
1955-02-20	30499.733333333334	20415.344833333333	1.2001874583333334	36701.77256875
1955-02-21	30497.38058333333	20414.149333333335	1.2121041250000002	36699.1519475
1955-02-22	30486.017333333337	20416.270583333335	1.1997361666666666	36690.892189583334
1955-02-23	30488.504833333336	20420.960499999997	1.2045277916666668	36695.566156666675
1955-02-24	30500.146333333334	20415.10158333333	1.1955694166666668	36701.98338583333
1955-02-25	30497.64225	20416.423666666666	1.1989027916666666	36700.63577833333
1955-02-26	30503.72483333333	20417.671583333333	1.199076375	36706.38616583333
1955-02-27	30529.13833333334	20420.209333333336	1.2163472083333335	36728.915693333336
1955-02-28	30492.75016666667	20425.260749999998	1.2040416666666667	36701.49086041666
1955-03-01	30423.13091666666	20423.895041666667	1.201819458333333	36642.90599958333
1955-03-02	30435.19641666666	20421.798583333333	1.2011250416666666	36651.756545000004
1955-03-03	30449.289875000002	20421.40820833333	1.1936944583333333	36663.24230208334
1955-03-04	30448.403708333328	20418.747875	1.193833375	36661.02539249999
1955-03-05	30438.0935	20425.00833333333	1.2003611666666665	36655.95050416666
1955-03-06	30437.735625	20423.519125000003	1.1945277499999998	36654.82346708333
1955-03-07	30432.26525	20423.678166666665	1.1992500416666667	36650.37044125
1955-03-08	30440.973541666666	20421.350375	1.1977222083333334	36656.30482416667
1955-03-09	30441.723375	20418.068333333336	1.1988334166666665	36655.10015666667
1955-03-10	30440.257791666663	20420.685291666665	1.1938333333333333	36655.341583749985
1955-03-11	30452.970875	20421.14795833333	1.1945971666666668	36666.15620583334
1955-03-12	30455.067000000006	20421.697375000003	1.1968194583333338	36668.20113916666
