year,zone,temp
1901,H.44S-64S,-0.34
1901,I.64S-90S,0.26
1902,A.90N-64N,-1.69
1902,B.64N-44N,-0.41
1902,C.44N-24N,-0.31
1902,D.24N-EQU,-0.05
1902,F.EQU-24S,-0.11
1902,G.24S-44S,-0.29
1902,H.44S-64S,-0.43
1902,I.64S-90S,-0.05
1903,A.90N-64N,-0.57
1903,B.64N-44N,-0.38
1903,C.44N-24N,-0.52
1903,D.24N-EQU,-0.25
1903,F.EQU-24S,-0.39
1903,G.24S-44S,-0.37
1903,H.44S-64S,-0.4
1903,I.64S-90S,-0.47
1904,A.90N-64N,-0.35
1904,B.64N-44N,-0.55
1904,C.44N-24N,-0.53
1904,D.24N-EQU,-0.47
1904,F.EQU-24S,-0.55
1904,G.24S-44S,-0.38
1904,H.44S-64S,-0.49
1904,I.64S-90S,-1.29
1905,A.90N-64N,-0.27
1905,B.64N-44N,-0.18
1905,C.44N-24N,-0.58
1905,D.24N-EQU,-0.17
1905,F.EQU-24S,-0.12
1905,G.24S-44S,-0.34
1905,H.44S-64S,-0.37
1905,I.64S-90S,-0.31
1906,A.90N-64N,-0.48
1906,B.64N-44N,0
1906,C.44N-24N,-0.34
1906,D.24N-EQU,-0.21
1906,F.EQU-24S,-0.2
1906,G.24S-44S,-0.2
1906,H.44S-64S,-0.23
1906,I.64S-90S,-0.68
1907,A.90N-64N,-0.83
1907,B.64N-44N,-0.7
1907,C.44N-24N,-0.46
1907,D.24N-EQU,-0.3
1907,F.EQU-24S,-0.35
1907,G.24S-44S,-0.21
1907,H.44S-64S,-0.37
1907,I.64S-90S,-1.17
1908,A.90N-64N,-0.53
1908,B.64N-44N,-0.51
1908,C.44N-24N,-0.46
1908,D.24N-EQU,-0.41
1908,F.EQU-24S,-0.49
1908,G.24S-44S,-0.28
1908,H.44S-64S,-0.48
1908,I.64S-90S,0.7
1909,A.90N-64N,-0.89
1909,B.64N-44N,-0.51
1909,C.44N-24N,-0.38
1909,D.24N-EQU,-0.43
1909,F.EQU-24S,-0.53
1909,G.24S-44S,-0.37
1909,H.44S-64S,-0.52
1909,I.64S-90S,-0.54
1910,A.90N-64N,-0.8
1910,B.64N-44N,-0.16
1910,C.44N-24N,-0.44
1910,D.24N-EQU,-0.49
1910,F.EQU-24S,-0.5
1910,G.24S-44S,-0.31
1910,H.44S-64S,-0.45
1910,I.64S-90S,0.19
1911,A.90N-64N,-0.45
1911,B.64N-44N,-0.36
1911,C.44N-24N,-0.41
1911,D.24N-EQU,-0.4
1911,F.EQU-24S,-0.45
1911,G.24S-44S,-0.42
1911,H.44S-64S,-0.52
1911,I.64S-90S,0.08
1912,A.90N-64N,-0.71
1912,B.64N-44N,-0.72
1912,C.44N-24N,-0.47
1912,D.24N-EQU,-0.26
1912,F.EQU-24S,-0.11
1912,G.24S-44S,-0.35
1912,H.44S-64S,-0.29
1912,I.64S-90S,-1.61
1913,A.90N-64N,-0.74
1913,B.64N-44N,-0.25
1913,C.44N-24N,-0.46
1913,D.24N-EQU,-0.44
1913,F.EQU-24S,-0.17
1913,G.24S-44S,-0.26
1913,H.44S-64S,-0.4
1913,I.64S-90S,-1.01
1914,A.90N-64N,-0.66
1914,B.64N-44N,-0.07
1914,C.44N-24N,-0.26
1914,D.24N-EQU,-0.12
1914,F.EQU-24S,-0.03
1914,G.24S-44S,-0.15
1914,H.44S-64S,-0.18
1914,I.64S-90S,-0.34
1915,A.90N-64N,-0.67
1915,B.64N-44N,-0.06
1915,C.44N-24N,-0.15
1915,D.24N-EQU,0.01
1915,F.EQU-24S,-0.02
1915,G.24S-44S,-0.14
1915,H.44S-64S,-0.23
1915,I.64S-90S,-1.96
1916,A.90N-64N,-0.41
1916,B.64N-44N,-0.44
1916,C.44N-24N,-0.19
1916,D.24N-EQU,-0.45
1916,F.EQU-24S,-0.41
