year,zone,temp
1989,A.90N-64N,0.44
1989,B.64N-44N,0.67
1989,C.44N-24N,0.27
1989,D.24N-EQU,0.09
1989,F.EQU-24S,0.22
1989,G.24S-44S,0.36
1989,H.44S-64S,0.3
1989,I.64S-90S,0.36
1990,A.90N-64N,0.66
1990,B.64N-44N,0.84
1990,C.44N-24N,0.47
1990,D.24N-EQU,0.35
1990,F.EQU-24S,0.37
1990,G.24S-44S,0.37
1990,H.44S-64S,0.37
1990,I.64S-90S,0.33
1991,A.90N-64N,0.8
1991,B.64N-44N,0.61
1991,C.44N-24N,0.26
1991,D.24N-EQU,0.33
1991,F.EQU-24S,0.42
1991,G.24S-44S,0.31
1991,H.44S-64S,0.29
1991,I.64S-90S,1.02
1992,A.90N-64N,-0.14
1992,B.64N-44N,0.37
1992,C.44N-24N,-0.04
1992,D.24N-EQU,0.21
1992,F.EQU-24S,0.38
1992,G.24S-44S,0.2
1992,H.44S-64S,0.33
1992,I.64S-90S,0.41
1993,A.90N-64N,0.65
1993,B.64N-44N,0.24
1993,C.44N-24N,-0.1
1993,D.24N-EQU,0.28
1993,F.EQU-24S,0.35
1993,G.24S-44S,0.27
1993,H.44S-64S,0.39
1993,I.64S-90S,-0.13
1994,A.90N-64N,0.39
1994,B.64N-44N,0.47
1994,C.44N-24N,0.42
1994,D.24N-EQU,0.26
1994,F.EQU-24S,0.34
1994,G.24S-44S,0.26
1994,H.44S-64S,0.23
1994,I.64S-90S,-0.1
1995,A.90N-64N,1.38
1995,B.64N-44N,0.96
1995,C.44N-24N,0.32
1995,D.24N-EQU,0.41
1995,F.EQU-24S,0.45
1995,G.24S-44S,0.28
1995,H.44S-64S,0.15
1995,I.64S-90S,0.07
1996,A.90N-64N,0.84
1996,B.64N-44N,0.21
1996,C.44N-24N,0.12
1996,D.24N-EQU,0.31
1996,F.EQU-24S,0.33
1996,G.24S-44S,0.33
1996,H.44S-64S,0.29
1996,I.64S-90S,1.09
1997,A.90N-64N,0.78
1997,B.64N-44N,0.89
1997,C.44N-24N,0.25
1997,D.24N-EQU,0.51
1997,F.EQU-24S,0.52
1997,G.24S-44S,0.41
1997,H.44S-64S,0.36
1997,I.64S-90S,-0.03
1998,A.90N-64N,1
1998,B.64N-44N,0.94
1998,C.44N-24N,0.67
1998,D.24N-EQU,0.61
1998,F.EQU-24S,0.79
1998,G.24S-44S,0.38
1998,H.44S-64S,0.31
1998,I.64S-90S,0.19
1999,A.90N-64N,0.47
1999,B.64N-44N,0.83
1999,C.44N-24N,0.75
1999,D.24N-EQU,0.16
1999,F.EQU-24S,0.27
1999,G.24S-44S,0.46
1999,H.44S-64S,0.19
1999,I.64S-90S,0.04
2000,A.90N-64N,1.14
2000,B.64N-44N,0.76
2000,C.44N-24N,0.55
2000,D.24N-EQU,0.2
2000,F.EQU-24S,0.29
2000,G.24S-44S,0.42
2000,H.44S-64S,0.1
2000,I.64S-90S,0.35
2001,A.90N-64N,1.09
2001,B.64N-44N,0.82
2001,C.44N-24N,0.7
2001,D.24N-EQU,0.4
2001,F.EQU-24S,0.43
2001,G.24S-44S,0.56
2001,H.44S-64S,0.24
2001,I.64S-90S,0.42
2002,A.90N-64N,1.37
2002,B.64N-44N,0.97
2002,C.44N-24N,0.57
2002,D.24N-EQU,0.55
2002,F.EQU-24S,0.62
2002,G.24S-44S,0.47
2002,H.44S-64S,0.31
2002,I.64S-90S,0.84
2003,A.90N-64N,1.55
2003,B.64N-44N,0.95
2003,C.44N-24N,0.51
2003,D.24N-EQU,0.59
2003,F.EQU-24S,0.64
2003,G.24S-44S,0.43
2003,H.44S-64S,0.24
2003,I.64S-90S,0.51
2004,A.90N-64N,0.65
2004,B.64N-44N,0.93
2004,C.44N-24N,0.66
2004,D.24N-EQU,0.55
2004,F.EQU-24S,0.53
2004,G.24S-44S,0.47
2004,H.44S-64S,0.23
2004,I.64S-90S,-0.08
2005,A.90N-64N,2.04
2005,B.64N-44N,1.17
2005,C.44N-24N,0.54
2005,D.24N-EQU,0.6
2005,F.EQU-24S,0.61
2005,G.24S-44S,0.49
2005,H.44S-64S,0.18
2005,I.64S-90S,0.78
2006,A.90N-64N,1.63
2006,B.64N-44N,1.06
2006,C.44N-24N,0.65
2006,D.24N-EQU,0.54
2006,F.EQU-24S,0.55
2006,G.24S-44S,0.51
2006,H.44S-64S,0.19
2006,I.64S-90S,0.32
2007,A.90N-64N,1.91
2007,B.64N-44N,1.3
2007,C.44N-24N,0.66
2007,D.24N-EQU,0.43
2007,F.EQU-24S,0.47
2007,G.24S-44S,0.49
2007,H.44S-64S,0.07
2007,I.64S-90S,1.12
2008,A.90N-64N,1.38
2008,B.64N-44N,1.03
2008,C.44N-24N,0.59
2008,D.24N-EQU,0.32
2008,F.EQU-24S,0.4
2008,G.24S-44S,0.52
2008,H.44S-64S,0.09
2008,I.64S-90S,0.43
2009,A.90N-64N,1.23
2009,B.64N-44N,0.58
2009,C.44N-24N,0.66
2009,D.24N-EQU,0.65
2009,F.EQU-24S,0.69
2009,G.24S-44S,0.59
2009,H.44S-64S,0.15
2009,I.64S-90S,0.8
2010,A.90N-64N,2
2010,B.64N-44N,0.86
2010,C.44N-24N,0.72
2010,D.24N-EQU,0.71
2010,F.EQU-24S,0.63
2010,G.24S-44S,0.62
2010,H.44S-64S,0.2
2010,I.64S-90S,0.39
2011,A.90N-64N,2.12
2011,B.64N-44N,0.9
2011,C.44N-24N,0.55
2011,D.24N-EQU,0.38
2011,F.EQU-24S,0.33
2011,G.24S-44S,0.64
2011,H.44S-64S,0.18
2011,I.64S-90S,0.93
2012,A.90N-64N,1.92
2012,B.64N-44N,0.89
2012,C.44N-24N,0.72
2012,D.24N-EQU,0.47
2012,F.EQU-24S,0.56
2012,G.24S-44S,0.56
2012,H.44S-64S,0.19
2012,I.64S-90S,0.32
2013,A.90N-64N,1.21
2013,B.64N-44N,1.03
2013,C.44N-24N,0.67
2013,D.24N-EQU,0.58
2013,F.EQU-24S,0.56
2013,G.24S-44S,0.62
2013,H.44S-64S,0.23
2013,I.64S-90S,0.75
2014,A.90N-64N,1.83
2014,B.64N-44N,1.13
2014,C.44N-24N,0.74
2014,D.24N-EQU,0.69
2014,F.EQU-24S,0.63
2014,G.24S-44S,0.71
2014,H.44S-64S,0.18
2014,I.64S-90S,0.56
2015,A.90N-64N,1.7
2015,B.64N-44N,1.45
2015,C.44N-24N,0.99
2015,D.24N-EQU,0.95
2015,F.EQU-24S,0.9
2015,G.24S-44S,0.73
2015,H.44S-64S,0.18
2015,I.64S-90S,-0.27
2016,A.90N-64N,3.07
2016,B.64N-44N,1.43
2016,C.44N-24N,1.05
2016,D.24N-EQU,0.94
2016,F.EQU-24S,1.03
2016,G.24S-44S,0.65
2016,H.44S-64S,0.25
2016,I.64S-90S,0.41
2017,A.90N-64N,2.2
2017,B.64N-44N,1.36
2017,C.44N-24N,1.01
2017,D.24N-EQU,0.83
2017,F.EQU-24S,0.77
2017,G.24S-44S,0.75
2017,H.44S-64S,0.35
2017,I.64S-90S,0.67
